,TNFADATA.REALESTATE.AMOUNT.A,TNFADATA.REALESTATE.COMPOSITION.A,TNFADATA.HOUSEHOLDEQUIPMENT.AMOUNT.A,TNFADATA.HOUSEHOLDEQUIPMENT.COMPOSITION.A
,"Assets Structure for Households Sector, Net Non-financial Assets, Real Estate, Amount","Assets Structure for Households Sector, Net Non-financial Assets, Real Estate, Composition","Assets Structure for Households Sector, Net Non-financial Assets, Household Equipment, Amount","Assets Structure for Households Sector, Net Non-financial Assets, Household Equipment, Composition"
2017,454383,36.24,47350,3.78
2018,458839,35.91,48562,3.8
2019,464541,34.3,49186,3.63
2020,473905,32.9,49460,3.43
2021,485713,31.1,50907,3.26
2022,504452,31.71,53343,3.35
2023,518149,30.21,57019,3.32
